City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
9,Vaini,TO,78.96,light rain,-21.2,-175.2,Keleti Beach Resort
22,Tharad,IN,81.9,clear sky,24.3961,71.6267,Shree Nandan Couriyar Service
27,Acarau,BR,78.66,scattered clouds,-2.8856,-40.12,castelo pizzaria
28,Gudur,IN,78.12,light rain,14.1333,79.85,BALAJI KITCHENS
30,Hobyo,SO,80.42,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
32,Broken Hill,AU,85.5,broken clouds,-31.95,141.4333,Royal Exchange Hotel
35,San Patricio,US,76.84,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
37,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
38,Le Port,RE,80.89,few clouds,-20.9373,55.2919,KORBEY D'OR OUEST
43,Kapaa,US,75.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
44,Kudahuvadhoo,MV,82.76,light rain,2.6708,72.8944,Niyama Private Islands Maldives
45,Doka,SD,75.9,broken clouds,13.5167,35.7667,
49,Grand Gaube,MU,78.39,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
54,Mocuba,MZ,82.54,clear sky,-16.8392,36.9856,Phama Lodge
56,Kasrawad,IN,78.01,clear sky,22.1333,75.6,Hotel Aashray
57,Nishihara,JP,78.46,few clouds,26.1842,127.7558,Minshuku Agaihama
59,Saint-Philippe,RE,80.47,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
61,Bambous Virieux,MU,78.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
66,Ambilobe,MG,77.65,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
69,Abu Zabad,SD,83.08,broken clouds,12.35,29.25,حامد محمد نور
71,Maceio,BR,78.24,few clouds,-9.6658,-35.7353,Poutur Pousada
83,Cravo Norte,CO,76.48,scattered clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
90,Harper,LR,77.25,broken clouds,4.375,-7.7169,Screensaver
92,Butaritari,KI,82.65,few clouds,3.0707,172.7902,Isles Sunset Lodge
95,Dingle,PH,79.61,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
104,The Valley,AI,80.1,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
106,Touros,BR,79.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
107,Olpad,IN,85.98,clear sky,21.3333,72.75,IDTCATERING
108,Buala,SB,78.85,light rain,-8.145,159.5921,Maringe Lagoon Lodge
111,Nyimba,ZM,79.57,broken clouds,-14.5566,30.8149,Dali Dali Lodge
120,Mahebourg,MU,78.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
122,Atuona,PF,77.86,clear sky,-9.8,-139.0333,Villa Enata
123,Souillac,MU,78.37,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
129,Celestun,MX,75.22,broken clouds,20.8667,-90.4,Posada Lilia
130,Hilo,US,81.28,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
134,Kayes,ML,80.13,scattered clouds,14.0,-11.0,
143,Bandarbeyla,SO,79.32,broken clouds,9.4942,50.8122,JABIR HOTEL
145,Aquiraz,BR,80.69,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
148,Namuac,PH,82.69,scattered clouds,18.6109,121.1657,Mlin Hotel
153,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
157,Port Blair,IN,84.42,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
158,Santa Marta,CO,75.34,overcast clouds,11.2408,-74.199,Casa de Isabella
161,Victoria,HK,84.96,broken clouds,22.2855,114.1577,Mini Hotel Central
162,Nelson Bay,AU,79.29,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
163,Micheweni,TZ,79.41,scattered clouds,-4.9667,39.8333,
168,Cabo San Lucas,MX,80.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
169,Moree,AU,84.22,light rain,-29.4667,149.85,Molika Springs Motel
173,Monrovia,LR,77.34,light rain,6.3005,-10.7969,Sunset Inn
174,Mount Isa,AU,89.37,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
175,Sabya,SA,78.42,clear sky,17.1495,42.6254,Aseel Hotel Apartment
176,Boa Vista,BR,80.58,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
177,Anloga,GH,75.42,broken clouds,5.7947,0.8973,Pin Drop Hotel
185,Labuhan,ID,87.39,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
186,Moita Bonita,BR,77.97,broken clouds,-10.5775,-37.3428,Pousada São Francisco
188,Pabna,BD,79.84,few clouds,24.0,89.25,Hotel Dream Palace International
190,Islamkot,PK,83.79,clear sky,24.6997,70.177,Haji Hotel
191,Tutoia,BR,79.5,few clouds,-2.7619,-42.2744,Pousada Guará's
193,Kita,ML,76.59,few clouds,13.0349,-9.4895,Hôtel Chat Rouge
197,Inhambane,MZ,75.18,broken clouds,-23.865,35.3833,Oceano
201,Mount Darwin,ZW,76.23,scattered clouds,-16.7725,31.5838,
204,Carnarvon,AU,75.27,few clouds,-24.8667,113.6333,Hospitality Carnarvon
205,Nieuw Amsterdam,SR,79.02,clear sky,5.8833,-55.0833,Hotel Stardust
206,Grand-Lahou,CI,76.62,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
207,Hithadhoo,MV,82.56,broken clouds,-0.6,73.0833,Scoop Guest House
