City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bethel,US,41.3712,-73.414,46.92,70,90,3.44,overcast clouds
1,Airai,TL,-8.9266,125.4092,72.97,68,88,3.74,overcast clouds
2,Grindavik,IS,63.8424,-22.4338,25.27,80,40,5.75,scattered clouds
3,Mataura,NZ,-46.1927,168.8643,59.49,38,1,8.68,clear sky
4,Seoul,KR,37.5683,126.9778,63.79,36,0,6.91,clear sky
5,Svetlaya,RU,46.5389,138.3297,44.92,74,85,8.05,overcast clouds
6,Avarua,CK,-21.2078,-159.775,77.05,78,40,11.5,scattered clouds
7,Albany,US,42.6001,-73.9662,36.09,84,14,5.68,few clouds
8,Yellowknife,CA,62.456,-114.3525,30.42,100,1,8.05,clear sky
9,Vaini,TO,-21.2,-175.2,78.96,89,40,9.22,light rain
10,Busselton,AU,-33.65,115.3333,64.31,55,17,10.25,few clouds
11,Ostrovnoy,RU,68.0531,39.5131,36.0,89,34,24.23,scattered clouds
12,Port Elizabeth,ZA,-33.918,25.5701,50.29,87,0,2.3,clear sky
13,Altay,CN,47.8667,88.1167,28.69,89,100,8.21,snow
14,Cape Town,ZA,-33.9258,18.4232,58.1,73,75,3.0,broken clouds
15,Talara,PE,-4.5772,-81.2719,63.91,88,22,14.2,few clouds
16,Hofn,IS,64.2539,-15.2082,29.62,59,79,17.13,broken clouds
17,Caravelas,BR,-17.7125,-39.2481,73.29,94,100,9.6,overcast clouds
18,Punta Arenas,CL,-53.15,-70.9167,48.31,87,90,6.91,overcast clouds
19,Codrington,AU,-38.2667,141.9667,62.8,85,100,15.7,light rain
20,New Norfolk,AU,-42.7826,147.0587,67.5,72,100,1.99,moderate rain
21,Jamestown,US,42.097,-79.2353,36.99,91,90,10.0,snow
22,Tharad,IN,24.3961,71.6267,81.9,29,10,3.91,clear sky
23,Severo-Kurilsk,RU,50.6789,156.125,39.88,69,67,9.62,broken clouds
24,Hermanus,ZA,-34.4187,19.2345,56.89,75,0,8.88,clear sky
25,Pangnirtung,CA,66.1451,-65.7125,22.01,80,100,3.98,overcast clouds
26,Ahipara,NZ,-35.1667,173.1667,61.61,69,91,14.23,overcast clouds
27,Acarau,BR,-2.8856,-40.12,78.66,82,28,10.67,scattered clouds
28,Gudur,IN,14.1333,79.85,78.12,76,100,5.91,light rain
29,Kharan,PK,28.5833,65.4167,65.3,20,0,2.13,clear sky
30,Hobyo,SO,5.3505,48.5268,80.42,69,47,9.51,scattered clouds
