City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hobart,-42.8794,147.3294,71.02,46,20,3.0,AU,2021-11-02 01:09:46
1,Albany,42.6001,-73.9662,43.54,70,100,5.88,US,2021-11-02 01:09:46
2,Busselton,-33.65,115.3333,63.05,58,36,15.73,AU,2021-11-02 01:09:47
3,Palmer,42.1584,-72.3287,45.91,80,75,0.0,US,2021-11-02 01:09:47
4,Rosetta,31.4044,30.4164,70.38,69,57,8.79,EG,2021-11-02 01:09:48
5,Vanimo,-2.6741,141.3028,85.59,63,100,2.46,PG,2021-11-02 01:09:48
6,Tadine,-21.55,167.8833,73.6,56,29,16.06,NC,2021-11-02 01:09:49
7,Flinders,-34.5833,150.8552,76.21,62,8,10.56,AU,2021-11-02 01:09:49
8,Hermanus,-34.4187,19.2345,53.91,70,70,9.62,ZA,2021-11-02 01:09:49
9,Rikitea,-23.1203,-134.9692,72.61,67,100,12.17,PF,2021-11-02 01:09:50
10,Swan Hill,-35.3378,143.5544,85.05,17,4,12.39,AU,2021-11-02 01:09:51
11,Codrington,-38.2667,141.9667,74.84,45,65,13.69,AU,2021-11-02 01:09:51
12,Fortuna,40.5982,-124.1573,59.41,66,75,0.0,US,2021-11-02 01:09:51
13,Geraldton,-28.7667,114.6,64.81,48,90,11.5,AU,2021-11-02 01:09:52
14,Mataura,-46.1927,168.8643,52.48,42,94,10.27,NZ,2021-11-02 01:09:52
15,San Policarpo,12.1791,125.5072,81.36,85,100,13.73,PH,2021-11-02 01:09:53
16,Ushuaia,-54.8,-68.3,51.46,58,0,11.5,AR,2021-11-02 01:05:46
17,New Norfolk,-42.7826,147.0587,70.66,39,58,4.0,AU,2021-11-02 01:09:53
18,Qaanaaq,77.484,-69.3632,8.69,66,0,7.96,GL,2021-11-02 01:09:54
19,Bredasdorp,-34.5322,20.0403,52.29,74,22,7.36,ZA,2021-11-02 01:09:54
20,Port Antonio,18.18,-76.4612,77.95,84,22,3.87,JM,2021-11-02 01:09:55
21,Byron Bay,-28.65,153.6167,73.06,59,94,8.39,AU,2021-11-02 01:09:55
22,Pen,18.75,73.0833,80.64,68,100,5.03,IN,2021-11-02 01:09:56
23,Butaritari,3.0707,172.7902,82.65,70,16,12.35,KI,2021-11-02 01:09:56
24,Carnarvon,-24.8667,113.6333,64.58,57,100,19.53,AU,2021-11-02 01:09:57
25,Svetlogorsk,52.6333,29.7333,38.23,95,54,6.73,BY,2021-11-02 01:09:57
26,Port Alfred,-33.5906,26.891,60.33,72,10,27.09,ZA,2021-11-02 01:09:58
27,Cape Town,-33.9258,18.4232,55.89,76,100,1.99,ZA,2021-11-02 01:09:58
28,Launceston,-41.45,147.1667,68.61,57,79,8.01,AU,2021-11-02 01:09:58
29,Abu Samrah,35.3029,37.1841,63.82,63,100,8.34,SY,2021-11-02 01:09:59
30,Port-Gentil,-0.7193,8.7815,76.66,86,88,5.21,GA,2021-11-02 01:09:59
